TotalEnvSteps,MetaTrain/Average/ContrastiveLoss,MetaTrain/Average/Alpha,MetaTest/Average/NumTrajs,MetaTest/Average/Iteration,MetaTest/hammer-v1/Iteration,MetaTest/hammer-v1/MinReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/MaxReturn,MetaTrain/Average/AlphaLoss,MetaTest/Average/AverageReturn,MetaTest/Average/SuccessRate,MetaTest/hammer-v1/AverageReturn,MetaTest/hammer-v1/StdReturn,MetaTest/hammer-v1/MaxReturn,MetaTest/Average/MinReturn,MetaTrain/Average/PolicyLoss,MetaTest/hammer-v1/NumTrajs,MetaTest/Average/StdReturn,MetaTest/Average/TerminationRate,MetaTest/hammer-v1/SuccessRate,MetaTest/hammer-v1/TerminationRate,MetaTest/hammer-v1/AverageDiscountedReturn,MetaTrain/Average/QfLoss
1976000,686.8283,nan,10,73,73,-116.23999309172586,-70.88924270118902,-20.083148725883955,-3.9162774,-70.88924270118903,0.0,-70.88924270118903,40.281515848789155,-20.083148725883955,-116.23999309172586,-394.2012,10,40.281515848789155,0.0,0.0,0.0,-70.88924270118902,398590.22
2000000,877.88965,nan,10,74,74,-119.41667474183345,-6.022711136610174,205.93267311340836,-3.8499742,-6.022711136610176,0.0,-6.022711136610176,107.76487565999828,205.93267311340836,-119.41667474183345,-1626.8961,10,107.76487565999828,0.0,0.0,0.0,-6.022711136610174,412487.56
2024000,308.47333,nan,10,75,75,-100.6758081938838,5155.534028117424,37044.455187166044,-9.337656,5155.534028117424,0.0,5155.534028117424,11524.898560454816,37044.455187166044,-100.6758081938838,-7681.8384,10,11524.898560454816,0.0,0.0,0.0,5155.534028117424,923657.75
2048000,54.384834,nan,10,76,76,-45.54465939759042,6.641381533969326,66.9972973354373,-12.87705,6.6413815339693185,0.0,6.6413815339693185,38.10356699339528,66.9972973354373,-45.54465939759042,-12335.95,10,38.10356699339528,0.0,0.0,0.0,6.641381533969326,1505078.8
2072000,23.258348,nan,10,77,77,-51.71842385956424,6140.616856789195,61269.402902808324,-14.108789,6140.616856789196,0.0,6140.616856789196,18376.671579114787,61269.402902808324,-51.71842385956424,-17110.734,10,18376.671579114787,0.0,0.0,0.0,6140.616856789195,1964804.1
2096000,682.3273,nan,10,78,78,-134.516371371771,8857.296918385717,61972.48848868226,-13.492946,8857.29691838572,0.0,8857.29691838572,19460.34480499469,61972.48848868226,-134.516371371771,-16127.928,10,19460.34480499469,0.0,0.0,0.0,8857.296918385717,2494241.2
2120000,28018.92,nan,10,79,79,-42.082032357274436,-31.501625037489674,-21.178194208557308,-10.038518,-31.50162503748968,0.0,-31.50162503748968,7.784783850593951,-21.178194208557308,-42.082032357274436,-2585.972,10,7.784783850593951,0.0,0.0,0.0,-31.501625037489674,4258878.0
2144000,16765.89,nan,10,80,80,-70.72401899896131,1000.131336547561,10236.903472702885,-9.308385,1000.1313365475614,0.1,1000.1313365475614,3079.206443646686,10236.903472702885,-70.72401899896131,-3953.6968,10,3079.206443646686,0.0,0.1,0.0,1000.131336547561,2451675.2
2168000,15836.222,nan,10,81,81,-36.31561024196877,3.332018699005693,218.15265899059276,-15.241023,3.332018699005699,0.0,3.332018699005699,72.37018731130851,218.15265899059276,-36.31561024196877,-28428.516,10,72.37018731130851,0.0,0.0,0.0,3.332018699005693,5417131.5
2192000,2602.417,nan,10,82,82,-125.44886934531249,-116.41908314611233,-109.56342502018066,-13.898517,-116.4190831461124,0.0,-116.4190831461124,5.43246037606162,-109.56342502018066,-125.44886934531249,-27164.074,10,5.43246037606162,0.0,0.0,0.0,-116.41908314611233,4343060.5
