plate-slide-v1/Iteration,plate-slide-v1/StdReturn,GaussianMLPPolicy/KLBefore,TotalEnvSteps,MetaTest/plate-slide-v1/AverageDiscountedReturn,plate-slide-v1/AverageDiscountedReturn,MetaTest/Average/MinReturn,GaussianMLPPolicy/KLAfter,Average/NumEpisodes,GaussianMLPPolicy/LossBefore,MetaTest/plate-slide-v1/MinReturn,MetaTest/Average/StdReturn,plate-slide-v1/MinReturn,Average/SuccessRate,plate-slide-v1/NumEpisodes,MetaTest/Average/SuccessRate,MetaTest/Average/AverageReturn,MetaTest/plate-slide-v1/MaxReturn,plate-slide-v1/MaxReturn,MetaTest/Average/NumEpisodes,GaussianMLPPolicy/LossAfter,Average/StdReturn,MetaTest/Average/Iteration,plate-slide-v1/TerminationRate,Iteration,plate-slide-v1/SuccessRate,MetaTest/plate-slide-v1/StdReturn,MetaTest/plate-slide-v1/NumEpisodes,Average/Iteration,Average/MaxReturn,MetaTest/plate-slide-v1/AverageReturn,Average/AverageReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/plate-slide-v1/Iteration,plate-slide-v1/AverageReturn,Average/AverageDiscountedReturn,MetaTest/plate-slide-v1/TerminationRate,GaussianMLPPolicy/Entropy,MetaTest/Average/MaxReturn,MetaTest/plate-slide-v1/SuccessRate,MetaTest/Average/TerminationRate,GaussianMLPPolicy/dLoss,Average/MinReturn,Average/TerminationRate
42,16070.609450075437,0.0,3440000,,3093.8161927520905,,1.387132488162024e-05,200,-1.5911534774204483e-06,,,-46.131478721693554,0.01,200,,,,81107.94741953578,,-1.610791855455318e-06,16070.609450075437,,0.0,42,0.01,,,42,81107.94741953578,,10590.65352390979,,,10590.65352390979,3093.8161927520905,,5.702331066131592,,,,1.9638378034869675e-08,-46.131478721693554,0.0
43,18501.71305406198,0.0,3520000,,3387.496187045439,,7.497031219827477e-06,200,-2.0945562937413342e-06,,,-48.955282052971796,0.03,200,,,,100957.46246732227,,-2.105163275700761e-06,18501.71305406198,,0.0,43,0.03,,,43,100957.46246732227,,12298.763265541165,,,12298.763265541165,3387.496187045439,,5.700637340545654,,,,1.0606981959426776e-08,-48.955282052971796,0.0
44,16430.87408206022,0.0,3600000,,3368.3491407230217,,7.89950991020305e-06,200,-2.101499603668344e-06,,,-46.322285522707915,0.005,200,,,,82687.51000481918,,-2.112665697495686e-06,16430.87408206022,,0.0,44,0.005,,,44,82687.51000481918,,12287.399481022489,,,12287.399481022489,3368.3491407230217,,5.699057102203369,,,,1.1166093827341683e-08,-46.322285522707915,0.0
45,14301.161996765042,0.0,3680000,,2432.800127963261,,2.2244410502025858e-05,200,-2.3723346487258823e-07,,,-49.7719607111681,0.01,200,,,,61623.77689186006,,-2.687440883164527e-07,14301.161996765042,,0.0,45,0.01,,,45,61623.77689186006,,8507.55517786061,,,8507.55517786061,2432.800127963261,,5.6988911628723145,,,,3.151062344386446e-08,-49.7719607111681,0.0
46,14647.442362905223,0.0,3760000,,2785.9449336989633,,5.181066080695018e-05,200,-2.9281140996317845e-06,,,-49.348415592576565,0.015,200,,,,58886.39245397927,,-3.0016763048479334e-06,14647.442362905223,,0.0,46,0.015,,,46,58886.39245397927,,9746.697521568294,,,9746.697521568294,2785.9449336989633,,5.696833610534668,,,,7.356220521614887e-08,-49.348415592576565,0.0
47,13826.101053802764,0.0,3840000,,2691.6851869274506,,1.7660859157331288e-05,200,1.4683885183330858e-06,,,-48.1576049146022,0.015,200,,,,57969.86547923438,,1.4433675232794485e-06,13826.101053802764,,0.0,47,0.015,,,47,57969.86547923438,,9455.250000763253,,,9455.250000763253,2691.6851869274506,,5.697990417480469,,,,2.5020995053637307e-08,-48.1576049146022,0.0
48,16592.45892860839,0.0,3920000,,3324.924589299597,,4.143968180869706e-05,200,4.363506832305575e-06,,,-52.15855756135879,0.02,200,,,,60173.26483141512,,4.304726644477341e-06,16592.45892860839,,0.0,48,0.02,,,48,60173.26483141512,,11915.99583838189,,,11915.99583838189,3324.924589299597,,5.699934959411621,,,,5.8780187828233466e-08,-52.15855756135879,0.0
49,16004.38439624189,0.0,4000000,,2995.841689728343,,8.071032425505109e-06,200,-1.7857973944046535e-06,,,-53.00772914886637,0.02,200,,,,77174.0577780005,,-1.7972002979149693e-06,16004.38439624189,,0.0,49,0.02,,,49,77174.0577780005,,10629.262506999015,,,10629.262506999015,2995.841689728343,,5.698325157165527,,,,1.140290351031581e-08,-53.00772914886637,0.0
50,15580.134239461988,0.0,4080000,17631.41287669469,3211.8279271280007,-30.003415844390716,8.521426025254186e-06,200,-3.2778160630186903e-07,-30.003415844390716,14068.51497224891,-53.520334221720596,0.015,200,0.0,17631.41287669469,35431.12468204287,62933.86345584153,10,-3.39838265972503e-07,15580.134239461988,5,0.0,50,0.015,14068.51497224891,10,50,62933.86345584153,17631.41287669469,11394.384376670821,17631.41287669469,5,11394.384376670821,3211.8279271280007,0.0,5.698068141937256,35431.12468204287,0.0,0.0,1.2056659670633962e-08,-53.520334221720596,0.0
51,13484.27839986929,0.0,4160000,,2465.987706097187,,1.0286344149790239e-05,200,-1.97089025277819e-06,,,-54.65623062639896,0.0,200,,,,57569.67127984402,,-1.985453536690329e-06,13484.27839986929,,0.0,51,0.0,,,51,57569.67127984402,,8742.486654650784,,,8742.486654650784,2465.987706097187,,5.69657564163208,,,,1.4563283912139013e-08,-54.65623062639896,0.0
