MetaTest/Average/Iteration,MetaTest/peg-insert-side-v1/StdReturn,MetaTest/Average/StdReturn,MetaTest/peg-insert-side-v1/MaxReturn,MetaTest/Average/NumTrajs,MetaTrain/Average/PolicyLoss,MetaTest/Average/MaxReturn,MetaTest/peg-insert-side-v1/TerminationRate,MetaTest/Average/AverageDiscountedReturn,MetaTest/peg-insert-side-v1/SuccessRate,MetaTrain/Average/Alpha,MetaTest/peg-insert-side-v1/AverageDiscountedReturn,MetaTest/peg-insert-side-v1/AverageReturn,MetaTest/Average/TerminationRate,MetaTrain/Average/QfLoss,MetaTest/peg-insert-side-v1/MinReturn,MetaTest/Average/SuccessRate,MetaTrain/Average/AlphaLoss,MetaTest/Average/MinReturn,MetaTrain/Average/ContrastiveLoss,MetaTest/peg-insert-side-v1/NumTrajs,MetaTest/Average/AverageReturn,MetaTest/peg-insert-side-v1/Iteration,TotalEnvSteps
60,9.947678202208536,9.947678202208536,-17.97229478532343,10,-130701.805,-17.97229478532343,0.0,-47.303633540789164,0.0,nan,-47.303633540789164,-47.303633540789164,0.0,42598170.0,-53.0367601890484,0.0,-22.5332,-53.0367601890484,326.19556,10,-47.303633540789164,60,1664000
61,30.590184505195847,30.590184505195847,44.24340417727848,10,-122748.18,44.24340417727848,0.0,-40.88194647677415,0.0,nan,-40.88194647677415,-40.881946476774154,0.0,41559956.0,-61.48117070553247,0.0,-21.911016,-61.48117070553247,436.08356,10,-40.881946476774154,61,1688000
62,2661.5922903310648,2661.5922903310648,8816.171705868504,10,-114169.86,8816.171705868504,0.0,831.8889185934097,0.0,nan,831.8889185934097,831.8889185934102,0.0,42534710.0,-118.80686108913757,0.0,-21.047165,-118.80686108913757,1033.8727,10,831.8889185934102,62,1712000
63,292.30095074810987,292.30095074810987,914.786582452095,10,-123829.12,914.786582452095,0.0,41.331822579224706,0.0,nan,41.331822579224706,41.33182257922479,0.0,48020004.0,-95.4720971730152,0.0,-22.266006,-95.4720971730152,763.63043,10,41.33182257922479,63,1736000
64,47.09137245636053,47.09137245636053,70.00299403467366,10,-111479.43,70.00299403467366,0.0,-14.552059999020491,0.0,nan,-14.552059999020491,-14.552059999020496,0.0,53361930.0,-59.40821881998001,0.0,-23.55549,-59.40821881998001,1870.5615,10,-14.552059999020496,64,1760000
65,597.197936307489,597.197936307489,1936.994034040805,10,-122454.96,1936.994034040805,0.0,147.00182161919713,0.0,nan,147.00182161919713,147.0018216191972,0.0,59698530.0,-100.34730400176022,0.0,-24.896578,-100.34730400176022,1443.2522,10,147.0018216191972,65,1784000
66,21.174336858645617,21.174336858645617,-7.258264081445627,10,-133187.5,-7.258264081445627,0.0,-48.23552439525671,0.0,nan,-48.23552439525671,-48.23552439525671,0.0,56564390.0,-89.41168012158501,0.0,-24.90909,-89.41168012158501,799.53265,10,-48.23552439525671,66,1808000
67,26.10325267226465,26.10325267226465,-12.852003763037054,10,-138501.9,-12.852003763037054,0.0,-46.51595834165236,0.0,nan,-46.51595834165236,-46.51595834165237,0.0,53642240.0,-98.99292055496143,0.0,-25.231869,-98.99292055496143,4569.0703,10,-46.51595834165237,67,1832000
68,27.73918070461159,27.73918070461159,-4.4549008383404365,10,-145328.64,-4.4549008383404365,0.0,-48.90567772730061,0.0,nan,-48.90567772730061,-48.90567772730061,0.0,56259492.0,-96.53735941191157,0.0,-25.29132,-96.53735941191157,1334.093,10,-48.90567772730061,68,1856000
69,544.9551449600455,544.9551449600455,1549.805910236785,10,-139263.23,1549.805910236785,0.0,213.83761036950222,0.0,nan,213.83761036950222,213.83761036950227,0.0,58083320.0,-102.95513354098502,0.0,-24.787338,-102.95513354098502,1164.7094,10,213.83761036950227,69,1880000
70,1222.1806220819055,1222.1806220819055,3996.579449474725,10,-131918.16,3996.579449474725,0.0,331.47111878961243,0.0,nan,331.47111878961243,331.47111878961255,0.0,58272572.0,-134.97868637209476,0.0,-24.766304,-134.97868637209476,1750.1777,10,331.47111878961255,70,1904000
71,7.511310392951775,7.511310392951775,-18.46197192767253,10,-18938.74,-18.46197192767253,0.0,-27.331835202563287,0.0,nan,-27.331835202563287,-27.331835202563276,0.0,16714928.0,-46.75501922339567,0.0,-19.663723,-46.75501922339567,3835.6592,10,-27.331835202563276,71,1928000
72,28.84436060416321,28.84436060416321,-19.579209027919493,10,-4764.293,-19.579209027919493,0.0,-36.48633956614228,0.0,nan,-36.48633956614228,-36.48633956614226,0.0,8309212.0,-118.14219939889237,0.0,-14.556693,-118.14219939889237,5328.385,10,-36.48633956614226,72,1952000
73,12.726086700989885,12.726086700989885,-31.74731175598179,10,-2603.2568,-31.74731175598179,0.0,-49.68614442737997,0.0,nan,-49.68614442737997,-49.68614442737997,0.0,4892854.5,-67.11525977255562,0.0,-9.357641,-67.11525977255562,7954.993,10,-49.68614442737997,73,1976000
