MetaTest/door-lock-v1/MaxReturn,MetaTest/Average/MinReturn,Average/Iteration,Average/AverageDiscountedReturn,door-lock-v1/NumEpisodes,Average/NumEpisodes,TotalEnvSteps,MetaTest/Average/Iteration,door-lock-v1/AverageReturn,MetaTest/Average/TerminationRate,MetaTest/door-lock-v1/NumEpisodes,door-lock-v1/MaxReturn,Average/TerminationRate,door-lock-v1/StdReturn,MetaTest/Average/MaxReturn,policy/KLBefore,MetaTest/door-lock-v1/MinReturn,MetaTest/Average/SuccessRate,door-lock-v1/SuccessRate,policy/LossBefore,MetaTest/door-lock-v1/AverageDiscountedReturn,policy/LossAfter,MetaTest/door-lock-v1/SuccessRate,Average/MinReturn,MetaTest/door-lock-v1/TerminationRate,Average/AverageReturn,policy/dLoss,MetaTest/door-lock-v1/StdReturn,door-lock-v1/TerminationRate,Average/SuccessRate,MetaTest/Average/NumEpisodes,door-lock-v1/Iteration,MetaTest/door-lock-v1/AverageReturn,policy/Entropy,MetaTest/Average/StdReturn,door-lock-v1/MinReturn,Average/StdReturn,MetaTest/door-lock-v1/Iteration,door-lock-v1/AverageDiscountedReturn,Average/MaxReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/AverageReturn,policy/KL,LinearFeatureBaseline/ExplainedVariance
,,43,1962.5651123791893,100,100,880000,,5546.181598099473,,,46703.30726844806,0.0,9410.086500779611,,0.0,,,0.1,-6.633461,,-16.10328,,-36.8624616519338,,5546.181598099473,9.469818,,0.0,0.1,,43,,4.884661,,-36.8624616519338,9410.086500779611,,1962.5651123791893,46703.30726844806,,,0.008935763,0.2001216869884972
,,44,2872.5425618825707,100,100,900000,,8622.446764521046,,,114087.58623047365,0.0,17676.06295898318,,0.0,,,0.15,-4.3969,,-19.424915,,-31.3042085864917,,8622.446764521046,15.028015,,0.0,0.15,,44,,4.8542967,,-31.3042085864917,17676.06295898318,,2872.5425618825707,114087.58623047365,,,0.0059421305,0.2219288483036408
,,45,1546.7559234851487,100,100,920000,,4859.554836532767,,,86215.78166174144,0.0,10554.767552092364,,0.0,,,0.15,-9.08705,,-19.335207,,-35.84188874845972,,4859.554836532767,10.248157,,0.0,0.15,,45,,4.815264,,-35.84188874845972,10554.767552092364,,1546.7559234851487,86215.78166174144,,,0.0070863394,0.2163674628335066
,,46,3318.1065226540627,100,100,940000,,11571.659527671312,,,139621.7064159415,0.0,23417.448248926532,,0.0,,,0.14,-6.6571655,,-31.29948,,-31.54681076680517,,11571.659527671312,24.642315,,0.0,0.14,,46,,4.7680397,,-31.54681076680517,23417.448248926532,,3318.1065226540627,139621.7064159415,,,0.006478788,0.22984629388511701
,,47,4083.1207756210324,100,100,960000,,12456.5068768716,,,91427.3310202851,0.0,18633.120008776787,,0.0,,,0.11,8.604653,,-8.728055,,-27.12638587982861,,12456.5068768716,17.332708,,0.0,0.11,,47,,4.7269106,,-27.12638587982861,18633.120008776787,,4083.1207756210324,91427.3310202851,,,0.0077351164,0.26722822953095415
,,48,3854.7208091229377,100,100,980000,,11696.745749165837,,,79100.69362101969,0.0,15985.322039767865,,0.0,,,0.09,3.32035,,-15.264313,,-31.73815024233022,,11696.745749165837,18.584663,,0.0,0.09,,48,,4.7056704,,-31.73815024233022,15985.322039767865,,3854.7208091229377,79100.69362101969,,,0.009457435,0.22271859575655117
,,49,3901.843318647364,100,100,1000000,,13685.11894365282,,,121982.4831611947,0.0,23163.352563739605,,0.0,,,0.25,-9.683619,,-28.570812,,-35.01031041861413,,13685.11894365282,18.887194,,0.0,0.25,,49,,4.6770396,,-35.01031041861413,23163.352563739605,,3901.843318647364,121982.4831611947,,,0.005239707,0.23076232078025982
22386.651064009096,-23.526926000506297,50,4672.614465619013,100,100,1020000,5,14116.743337611468,0.0,10,119051.81784504809,0.0,23091.93067040422,22386.651064009096,0.0,-23.526926000506297,0.2,0.22,8.813038,7301.72255897026,-12.481725,0.2,-31.414875579775245,0.0,14116.743337611468,21.294762,8126.576160084718,0.0,0.22,10,50,7301.72255897026,4.6227837,8126.576160084718,-31.414875579775245,23091.93067040422,5,4672.614465619013,119051.81784504809,7301.72255897026,7301.72255897026,0.0071351677,0.27419722749095354
,,51,5081.554969818905,100,100,1040000,,15955.704601381218,,,225192.85005428008,0.0,30693.575272980255,,0.0,,,0.21,4.3386374,,-21.109474,,-34.63585619252915,,15955.704601381218,25.448112,,0.0,0.21,,51,,4.567958,,-34.63585619252915,30693.575272980255,,5081.554969818905,225192.85005428008,,,0.008539559,0.19805695592397776
,,52,5925.025276542212,100,100,1060000,,19992.993440029422,,,262408.99851778423,0.0,35298.684675045035,,0.0,,,0.17,5.0373125,,-23.93985,,-30.40240951268187,,19992.993440029422,28.977161,,0.0,0.17,,52,,4.5304227,,-30.40240951268187,35298.684675045035,,5925.025276542212,262408.99851778423,,,0.0069911424,0.25405443240056724
